"id","killer","killer side","victim","victim side","method","weapon","body parts","ian johnson line","fagles line","tumblr id","notes"
181,"Meges","A","Croesmus","T"," spear in the chest",,,15.616,,,
182,"Menelaus","A","Dolops","T"," speared in the back",,,15.636,,,
183,"Antilochus","A","Melanippus","T"," spear in the chest",,,15.675,,,
184,"Hector","T","Periphetes","A"," spear in the chest",,,15.744,,,
185,"Patroclus","A","Pyraechmes","T"," spear in the shoulder",,,16.339,,,
186,"Patroclus","A","Areilycus","T"," spear in the thigh",,,16.361,,,
187,"Menelaus","A","Thoas","T"," spear in the chest",,,16.365,,,
188,"Meges","A","Amphiclus","T"," spear in the leg",,,16.367,,,
189,"Antilochus","A","Atymnius","T"," spear in the side",,,16.372,,,
190,"Thrasymedes","A","Maris","T"," spear in the shoulder",,,16.377,,,
191,"O��lean Ajax","A","Cleobulus","T"," sword in the neck",,,16.386,,,
